site_id,s_site_latitude,s_site_longitude
4BV0316C,44.331308,-72.755365
DM02044A,41.32729998,-94.02739992
NM01305C,35.087,-106.5929
1LE8433A,40.579722,-75.425833
SE05429I,46.981266,-123.847401
SF70520M,37.61353,-122.40503
BAP2471Y,37.471694,-121.941693
SE07160A,48.15238888,-122.243611
BA0014BA,37.69696945,-122.0979556
DA03265D,32.67985,-97.12368
LI12704B,40.78166666,-73.5333055
NYIPBAGA,41.03258,-73.76716
1NC8282B,39.801925,-75.496112
4BSS427A,42.7548333,-70.8931667
DE03176B,42.91127778,-82.7723611
4BS0554B,42.20027778,-71.02638889
ML90002A,43.017457,-88.009563
AU01243C,30.30953115,-97.6654466
PO08091A,45.4913,-122.483
SF77TOYM,37.8003,-122.282
SFP3152A,37.63726663,-122.417093
1AT1073B,39.52555555,-74.5080555
MW04017Z,39.82817441,-85.8347792
NJS0369A,40.71731163,-74.0643613
NY09004C,23,-96
PH21407A,33.354133,-111.452792
HNYH078A,30.011044,-94.179696
9ME2795X,34.33077778,-88.32283333
SE04619I,47.47997222,-122.151028
XRMN009A,44.956433,-93.261781
9AT7243A,34.315647,-84.694531
9NV0716C,35.60133612,-87.03446112
NAY3401A,36.15735278,-86.780325
LI12705F,40.739778,-73.637472
VA61220B,37.422,-77.67406
VG06706A,38.07355694,-117.2370681
SFL0664A,37.1571355,-122.0249465
4DN0567B,43.28166667,-70.99
SE06027A,47.295,-122.636389
VA11397B,37.22886111,-77.3407722
A3I0705A,29.783558,-95.608739
9MT3455A,31.912911,-89.022586
SE04621E,47.47269444,-122.162083
DA01355B,32.95525,-96.8886167
CLS0304A,41.484281,-81.777805
DN03997D,39.58453333,-105.104547
DES0700A,42.741742,-84.563717
CL51271A,41.44592856,-82.213605
IEL0047A,33.64343888,-117.6680167
9AT1426A,33.70559722,-84.313675
NES0658A,42.28962822,-70.87938765
CT11642C,41.36972275,-72.1008308
HN1055WA,29.05044517,-95.45965361
1AT6621B,39.36335,-74.42197
SC40936Y,36.984609,-119.639284
2CA4927C,40.90383,-75.68838
AU01760B,30.5573,-97.85348
PBS0170A,40.4368,-79.98531
NYS1611A,40.70304503,-73.81345207
SEY5601A,47.43022,-122.296285
NES1955A,43.646883,-70.27204
PHS0142A,39.913458,-75.232801
NY10423A,41.246111,-74.286389
DE01211C,42.82086111,-83.2562778
SC15304Z,38.58415913,-121.450643
BA11001Z,37.90830779,-122.280001
7WDC087A,38.87358,-77.01551
DN02005C,40.05477778,-104.567528
DM04916Z,41.8644,-94.6808
SE01656A,47.79189722,-120.3057
SE04682F,47.19472222,-122.308889
SC09400A,39.507256,-119.648321
6SE1038A,25.70165,-80.294545
SF53542C,37.425099,-122.23694
A3L0010B,30.72550001,-93.9208056
PT80044A,45.51546,-122.67935
DCTST10A,39.0517,-76.8925
N000039A,47.54653929,-122.2215774
9JK0643B,30.42855555,-81.60002777
CTHA075A,41.78611111,-72.48388888
DE02604A,42.231,-83.1830556
SV12189A,34.43206694,-119.702212
A2H2298Z,28.2007,-82.7592
NYS1285A,40.757071,-73.953006
DCS2654A,38.993802,-77.051705
7BAC474B,39.285385,-76.639648
CT11984A,41.45672502,-73.5283814
9ME4963A,34.998639,-90.905861
LIS1230A,40.708867,-73.539649
NYS1883A,40.797066,-73.818844
MT03027B,44.753944,-109.374889
CH75232G,41.602269,-87.849417
NY01456A,40.759008,-73.977322
MH80005D,41.4633,-74.3725
PO02065E,45.28253,-123.80945
9AT3062E,33.961397,-84.250072
DCS1222A,38.885928,-76.988155
BH0603BA,33.206955,-87.546972
CH0034XA,42.15224133,-87.81257545
9MT3274B,30.532811,-87.546836
LI12235Z,40.7188,-73.6309
IHCH820A,39.62194,-77.68024
A2E0682B,28.41352777,-81.5304444
DA01074F,null,null
9LV0107R,37.318906,-85.892992
NJ05936C,40.9104,-74.1123
PR03037A,18.12453761,-66.47333161
VA70157E,36.76651,-76.237565
9AT4511A,34.065,-84.6275
WA03009B,31.7166,-98.1285
HN9034GA,29.577404,-95.646808
NYYB501A,40.76441,-73.982695
4MN0622C,43.34946388,-71.47823611
SV00910E,null,null
VA21119A,38.182883,-77.009165
CH61086C,40.496764,-89.6783361
7BAN609B,39.21395,-76.8857639
ML0019XA,44.2631218,-88.4323311
CH88128A,41.485954,-87.338178
CIS0018A,39.751119,-84.202819
A4J0244A,40.6885,-80.0998333
6FM1250S,26.623697,-82.114842
3SYA378B,42.78,-73.8366667
SL01376A,38.457504,-112.659254
SC55469A,41.323144,-122.304649
IB01415A,40.75888889,-73.9816667
KZ06315B,42.26227778,-85.5905278
SL05906A,39.244401,-115.003957
NOY0901A,29.9217853,-90.0398576
BQ04108A,null,null
PRMT086A,18.35972222,-66.195
ON01178A,41.192819,-96.035534
PRNO257A,18.44472222,-66.54388889
ON05850A,41.280944,-97.407861
NYYH0A9A,40.709534,-74.010619
IEY5092A,33.49300316,-117.6980089
SPY2001A,47.1422461,-119.278561
VGY0103A,36.130759,-115.151666
ML93725A,45.4042,-87.9681
VA24623A,37.2925,-79.8429
SE02356Z,47.702677,-122.029226
IE04649Z,33.923474,-117.324218
9ME0407A,36.23397222,-89.74952778
9AT3194C,33.90944444,-84.27
1SA6147A,39.75694444,-75.4291667
ON01186A,41.11495,-95.9308
ML73816A,43.1713,-89.2843
1BL6295A,40.00778141,-74.9841711
1MG7950A,40.17197,-75.16687
IEE0023A,34.0565147,-117.5473992
A1Q0152Z,44.04733333,-92.4459167
LA74300W,34.062062,-118.358573
DA04238Z,32.89672,-97.3083
A4J0144B,40.57272222,-80.25425
DN03464A,39.85879713,-105.060092
LIS0214A,40.695882,-73.522671
CH80460A,41.90908055,-87.63052777
DCS2854A,38.7373,-77.0717
SV14300A,34.1878,-118.595
CHI9506A,41.662436,-87.428742
SF13138Z,37.5397,-122.346
IE85743A,34.07833888,-117.3672222
DA03657A,32.962228,-96.880886
A5H0019T,39.714056,-94.859111
A4J1575A,40.1972,-79.9306
4PR0218C,41.74666495,-71.423685
SF15831B,37.2396,-121.90316
9KX1096B,35.854418,-83.554404
ML95015A,46.34358,-85.96069
SF63317S,37.69451388,-122.4716444
IE95407A,33.90189,-116.366382
3SYA068A,42.766666,-73.904445
DC80002B,38.85235,-77.04646
PH08531A,33.57560278,-111.876578
SV00433A,34.104304,-118.303864
SE02221D,47.55833333,-122.298611
5HK0673A,35.69444,-81.83056
MT01031E,47.53308333,-114.1177778
6FM1163C,26.30591667,-80.9596306
DA04100B,32.782636,-96.762067
DA03567C,32.944455,-96.714365
PH60801C,32.116495,-111.041821
4NBS387A,43.208878,-71.090317
4BS0298D,42.59444444,-71.4583333
PH1505BA,33.455052,-112.06213
7BAN683A,39.396672,-76.304974
4HY0577A,41.73366,-70.48611
A3C0100A,29.700083,-95.286087
SP09169Z,46.5616,-120.507
NY09307B,41.24638889,-73.675
7WAN037D,39.27145,-77.22388
7WAN265B,39.13583333,-77.197
DCS0339A,39.34393,-76.67261
WI01392A,37.68591,-97.29707
NM01335W,35.148716,-106.584901
CH44396C,41.91625914,-88.0029836
DE02607A,42.495,-82.965
A1N0309A,44.88721388,-91.9438
MW07076B,39.67194444,-86.3575
TO01064A,41.610527,-83.114803
SL07043A,40.594653,-111.82145
SC60518A,38.999549,-120.887361
CHS0640A,41.903211,-87.633047
LUS0238A,38.01216,-87.49245
DM06459A,41.50833,-90.51162
NJ05164E,40.8396782,-74.0917082
NO00042C,null,null
UT80081A,43.5004,-112.087296
SV11416A,34.21084444,-118.331625
PO08371A,44.0891,-123.088
BX03732A,40.89844587,-73.8498328
A1I0417A,44.713528,-93.42486
NC0075ZA,35.9177,-81.523961
LA02522A,33.52177691,-117.632468
7WAW375A,38.771263,-77.501541
SD08382A,32.8198,-117.0029972
1PH6955G,40.05638888,-75.06
SE01865A,47.78345,-122.23383
SC55503A,38.6124,-121.291811
VA10337B,36.8041,-76.1284167
LN01043B,42.90956667,-84.5257333
CL23566D,41.90593,-80.6906611
DN01682Z,39.66719445,-104.7808695
DE80049A,42.3055,-83.2471
CH1474BA,41.75044,-87.6475
CH1427BA,42.006013,-87.660391
6MD1563B,25.743206,-80.429501
LA13175A,33.57016,-117.76322
BA20410D,38.456342,-122.695514
A5B0034A,36.94366666,-94.31461111
AR01862A,34.5036,-92.3874
SE07011B,48.41583333,-122.339167
CH45774Z,null,null
1MG4139E,40.1072,-75.1211
A3F0213B,29.771,-95.617694
PH45203A,33.24722222,-110.193889
2FA3011A,40.19861111,-76.7655556
NJ05003B,40.52777778,-74.2766667
PR01307A,18.44345,-66.009414
ATR0001A,33.88453,-84.4651
9SA1904A,31.789028,-82.332972
DE0094WA,42.94344531,-83.72966892
LAH5019A,33.984612,-118.439134
9AT4125C,33.69561111,-84.2911667
SC40251B,38.548578,-121.35855
SL07056A,40.766855,-111.89259
SD07288A,32.91509159,-117.246521
DE02916C,42.54028055,-83.4716611
CH80058F,41.9472,-87.65484
DA04512S,35.177789,-101.837817
7WAS135C,38.95837,-76.92528
HNYI101A,29.769457,-95.18682
DEY0201A,42.26549,-83.75013
MW07138F,39.84024651,-86.17622755
8GV0128X,34.933756,-82.7518
NO07389A,30.945281,-91.721111
NJ06112E,41.039566,-74.180951
DE80015E,42.56353,-83.13164
BQ06123C,40.758228,-73.830099
DAY5614A,32.7467,-97.09259
DA02334D,32.825634,-97.282065
9AT0338A,33.659932,-84.431988
9LV0005A,38.219646,-85.774898
DA07519M,32.64958333,-97.36547222
CHS3381A,42.393579,-87.855135
CH5165BA,41.97355,-87.659922
CH5190BA,41.993998,-87.689641
DCS1835A,38.872385,-76.929583
NJ08438C,40.51445,-74.86023
BK04038B,40.64465,-73.94542
SV12654A,35.339873,-118.981308
NY02311A,40.79604091,-73.949615
LUS0130A,38.315338,-85.647485
CT1138ZA,41.369858,-72.920973
SA01867A,30.322214,-97.755717
SA01261B,29.50001861,-98.62729278
7WAW048C,38.77361,-77.45192
LN01029C,42.71194444,-84.6719444
DCS0553A,39.29508382,-76.63072384
A1P0951D,44.88138888,-93.4876667
9BH1340X,33.98967753,-85.8398182
BQM6016A,40.6756,-73.8134
A5D0330A,39.49214,-95.129534
CH75514C,41.82008,-88.0097
DA05668Z,29.319,-103.606
PH30386D,33.46701,-111.77801
SE80546A,46.97781,-123.80334
AD06456A,41.9963,-83.9364
7WAW472A,38.724863,-77.5355
CH82093A,41.718778,-87.834417
NYI1330A,40.71321,-74.011835
A1R0253A,48.252528,-101.297917
A5C0412A,39.217372,-94.534203
CC02374S,28.81346944,-97.06277222
9BH8105A,32.06813,-86.55643
5TC0758A,36.36204,-82.279782
CH99279A,39.83406,-90.5315
DE0083ZA,42.48915145,-83.50269228
7WAN247A,39.06303,-77.2925
DNS0301A,39.729271,-104.986035
CL22437A,41.61420133,-81.4753704
8MB0868B,33.704444,-78.875278
ML90135Z,43.056544,-87.942074
MW06506B,41.13611111,-85.0630556
6MD1041I,25.80119444,-80.3758889
ML93438T,45.0442,-87.7537
SFH5033A,38.132501,-122.218898
CH73323Z,42.16442,-88.12957
A2D5301S,29.07741,-81.97742
9ME0297A,35.0523,-89.8264583
LA23210B,33.747182,-118.310547
LA02841C,33.518672,-117.704841
NYYY606A,40.75204,-73.99806
IL03860A,38.93949,-90.25328
NYS2012A,40.835351,-73.926881
4BN0484B,42.2685,-71.03785
M177674A,33.40118056,-84.7454167
1AT8727A,39.365016,-74.440173
TP80073A,26.21144,-81.79102
AUYF715A,30.223058,-97.618561
VA51117A,37.69266786,-77.3936078
CTNH305A,41.51805555,-73.0186111
PH12007B,33.56683333,-112.4285
TEST940A,40.1225,-75.3655
8CO0777B,33.979675,-80.92625001
LA02664A,34.04649815,-118.262616
NO00115B,null,null
UP30979A,42.733222,-76.588611
NM03000K,36.41105556,-105.576222
5AS0909A,35.617948,-82.514889
9JK2907Z,31.170306,-83.32
MW04065A,39.8992,-86.0593
9AT4537Z,33.374611,-84.26425
1PH6821B,39.96722222,-75.1630555
SV0178BA,34.15724719,-119.181696
VG09964A,36.14121945,-115.1641
4PR0074B,41.92130626,-71.3262445
SE01224A,47.66839671,-122.290162
PH07546A,33.401391,-111.961879
7WAC366B,38.94092,-77.22858
SI05548A,40.58880555,-74.1948055
SA01224D,29.39582896,-98.4040037
VG08202A,36.895062,-113.933591
CC01567A,null,null
PO01867A,45.561895,-122.620082
HI06003B,21.08769444,-157.017167
SEYH008A,47.925558,-122.268116
NES0478A,41.84680613,-71.45319014
CH17372A,null,null
SFL0181B,37.386469,-122.263792
SI05186E,40.52694444,-74.1686111
PO04037F,45.419682,-122.785934
CTNL814C,41.468797,-72.203344
VG21013A,35.978493,-115.10719
SL01026C,null,null
HI02147I,20.66666667,-156.432222
SV11017E,34.0836,-118.351
LA0001ZT,34.015419,-118.495935
PR00428A,18.245889,-66.1221
9ME6244A,33.423969,-86.706344
5GB0296A,35.81434722,-80.26295278
IL11938A,38.20036944,-88.91009722
PH10642A,33.72699722,-112.245331
PO03821B,45.4175,-123.801944
GS02398T,43.0727,-85.0923
1BU7792W,40.177561,-74.915272
A6A0489Z,39.203245,-81.652126
PH10408A,33.307,-111.772389
CH72258A,41.83843055,-87.7983806
LA33351D,33.894203,-118.091283
NJ08511A,40.50992,-74.26769
TU02966B,36.52494444,-95.6561667
4BN1338B,42.609495,-71.123144
LI13273D,40.95777793,-72.9438881
FT01014D,43.00111111,-83.6911111
TP0077BA,27.97158,-82.82964
SF24699C,37.213615,-122.594674
SV11197X,34.062969,-118.415794
DE05702T,42.04460609,-83.6727087
DCS0393A,39.30726,-76.63375
NY01507A,40.740639,-73.990889
PH69747A,33.05861,-110.902
NJ08395C,40.40718,-74.48354
PH20104A,33.48016666,-112.170194
CH0600BA,41.775283,-87.702918
A2D2004A,29.32709,-81.7651
BA42855Z,37.508804,-121.938794
SV11574B,34.17433333,-118.316514
CH42637Z,41.81369096,-87.7194163
A1I0518A,44.835998,-93.195992
SE06091A,48.19398944,-122.126253
